token,count
state,728
students,699
city,640
city state,598
teacher,570
company,491
education,468
student,414
skills,398
school,351
learning,341
children,307
classroom,299
activities,268
ï¼,250
ï¼ city,245
teaching,230
experience,208
plans,204
company city,200
management,191
university,189
work,187
lesson,184
development,184
parents,175
curriculum,174
professional,172
needs,168
service,166
science,163
company ï¼,161
daily,157
team,153
instruction,151
staff,148
social,146
program,145
training,145
grade,141
